date,time,sample type,Sample,scan,location,gross weight,observor initials/notes,QAQC initials,notes
2021-02-03T00:00:00Z,1459,CC,13,4.0,9,694.83,DN,NT,NA
2021-02-03T00:00:00Z,1519,CC,13,4.0,12,692.7,JT,NT,NA
2021-02-03T00:00:00Z,1419,CC,14,4.0,3,700,NT,NT,NA
2021-02-03T00:00:00Z,1438,CC,14,4.0,6,697.7,JB,NT,NA
2021-02-03T00:00:00Z,1459,CC,14,4.0,9,695.38,DN,NT,NA
2021-02-03T00:00:00Z,1519,CC,14,4.0,12,693.1,JT,NT,NA
2021-02-03T00:00:00Z,1419,CC,15,4.0,3,689.52,NT,NT,NA
2021-02-03T00:00:00Z,1438,CC,15,4.0,6,687,JB,NT,NA
2021-02-03T00:00:00Z,1459,CC,15,4.0,9,684.53,DN,NT,NA
2021-02-03T00:00:00Z,1519,CC,15,4.0,12,681.7,JT,NT,NA
2021-02-03T00:00:00Z,1419,CC,16,4.0,3,693.3,NT,NT,NA
2021-02-03T00:00:00Z,1438,CC,16,4.0,6,690.5,JB,NT,NA
2021-02-03T00:00:00Z,1459,CC,16,4.0,9,688.3,DN,NT,NA
2021-02-03T00:00:00Z,1519,CC,16,4.0,12,685.9,JT,NT,NA
2021-02-03T00:00:00Z,1847,CC,1,8.0,3,645.02,JT,NT,NA
2021-02-03T00:00:00Z,1906,CC,1,8.0,6,642.5,JB,NT,NA
2021-02-03T00:00:00Z,1929,CC,1,8.0,9,640.08,DN,NT,NA
2021-02-03T00:00:00Z,1824,CC,1,8.0,12,647.3,JT,NT,NA
2021-02-03T00:00:00Z,1847,CC,2,8.0,3,680.11,JT,NT,NA
2021-02-03T00:00:00Z,1906,CC,2,8.0,6,677.8,JB,NT,NA
2021-02-03T00:00:00Z,1929,CC,2,8.0,9,675.87,DN,NT,NA
2021-02-03T00:00:00Z,1824,CC,2,8.0,12,682.5,JT,NT,NA
2021-02-03T00:00:00Z,1847,CC,3,8.0,3,688.06,JT,NT,NA
2021-02-03T00:00:00Z,1906,CC,3,8.0,6,677.7,JB,NT,NA
2021-02-03T00:00:00Z,1929,CC,3,8.0,9,675.45,DN,NT,NA
2021-02-03T00:00:00Z,1824,CC,3,8.0,12,682.9,JT,NT,NA
2021-02-03T00:00:00Z,1847,CC,4,8.0,3,658.09,JT,NT,NA
2021-02-03T00:00:00Z,1906,CC,4,8.0,6,655.5,JB,NT,NA
2021-02-03T00:00:00Z,1929,CC,4,8.0,9,653.16,DN,NT,NA
2021-02-03T00:00:00Z,1824,CC,4,8.0,12,660.7,JT,NT,NA
2021-02-03T00:00:00Z,1907,CC,5,8.0,3,630.05,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,5,8.0,6,627.2,JB,NT,NA
2021-02-03T00:00:00Z,1824,CC,5,8.0,9,633.98,DN,NT,NA
2021-02-03T00:00:00Z,1847,CC,5,8.0,12,632.1,JT,NT,NA
2021-02-03T00:00:00Z,1907,CC,6,8.0,3,619.42,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,6,8.0,6,616.6,JB,NT,NA
2021-02-03T00:00:00Z,1824,CC,6,8.0,9,623.49,DN,NT,NA
2021-02-03T00:00:00Z,1847,CC,6,8.0,12,621.6,JT,NT,NA
2021-02-03T00:00:00Z,1907,CC,7,8.0,3,653.25,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,7,8.0,6,650.4,JB,NT,NA
2021-02-03T00:00:00Z,1824,CC,7,8.0,9,657.88,DN,NT,NA
2021-02-03T00:00:00Z,1847,CC,7,8.0,12,655.6,JT,NT,NA
2021-02-03T00:00:00Z,1907,CC,8,8.0,3,630.47,JT,NT,NA
